Set Name,Skins
Mecha Kingdoms,Mecha Kingdoms Draven; Mecha Kingdoms Garen; Mecha Kingdoms Jax; Mecha Kingdoms Leona; Mecha Kingdoms Sett; Prestige Mecha Kingdoms Garen
Modern Mythos,Radiant Serpent Sett
Monster Tamers,Monster Tamer Lulu; Monster Tamer Veigar; Zap'Maw
Blood Moon,Blood Moon Aatrox; Blood Moon Akali; Blood Moon Diana; Blood Moon Elise; Blood Moon Evelynn; Blood Moon Fiddlesticks; Blood Moon Jhin; Blood Moon Kalista; Blood Moon Katarina; Blood Moon Kennen; Blood Moon Master Yi; Blood Moon Pyke; Blood Moon Shen; Blood Moon Sivir; Blood Moon Talon; Blood Moon Thresh; Blood Moon Tryndamere; Blood Moon Twisted Fate; Blood Moon Yasuo; Blood Moon Zed; Blood Moon Zilean; Blood Moon Zyra; Prestige Blood Moon Aatrox; Prestige Blood Moon Aatrox (2022)
Snow Moon,Snow Moon Ahri; Snow Moon Caitlyn; Snow Moon Illaoi; Snow Moon Kayn; Snow Moon Morgana; Snow Moon Varus
Fright Night,Fright Night Annie; Fright Night Draven; Fright Night Nautilus; Fright Night Nunu & Willump; Fright Night Pyke; Fright Night Renata Glasc; Fright Night Shaco; Fright Night Trundle; Fright Night Urgot; Fright Night Veigar; Fright Night Zeri; Prestige Fright Night Zeri
Goth,Emumu; Goth Annie; Gothic Orianna
Empyrean,Empyrean Akali; Empyrean Brand; Empyrean Jax; Empyrean Jhin; Empyrean K'Sante; Empyrean Kayle; Empyrean Lux; Empyrean Malzahar; Empyrean Nocturne; Empyrean Pyke; Empyrean Varus; Empyrean Vex; Empyrean Zac; Empyrean Zed; Prestige Empyrean K'Sante; Prestige Empyrean Kayle
Odyssey,Galaxy Slayer Zed; Odyssey Aatrox; Odyssey Jinx; Odyssey Karma; Odyssey Kayn; Odyssey Kha'Zix; Odyssey Malphite; Odyssey Sivir; Odyssey Sona; Odyssey Twisted Fate; Odyssey Yasuo; Odyssey Ziggs; Quantum Galaxy Slayer Zed
Order of the Lotus,Order of the Lotus Irelia; Order of the Lotus Karma
PAX,Neo PAX Jax; Neo PAX Sivir; PAX Jax; PAX Sivir; PAX Twisted Fate
Piltover Customs,Hot Rod Corki; Piltover Customs Blitzcrank; Piltover Customs Heimerdinger
Prehistoric Hunters,Beast Hunter Draven; Beast Hunter Sejuani; Beast Hunter Tryndamere; Boneclaw Shyvana; Huntress Sivir; Prehistoric Anivia; Prehistoric Cho'Gath; Prehistoric Renekton; Primal Udyr; Sabretusk Sejuani; Tribal Ryze
Cyber Pop,Cyber Pop Akshan; Cyber Pop Zoe
Program,iBlitzcrank; Program Camille; Program LeBlanc; Program Lissandra; Program Nami; Program Soraka
